,,,,
Group,Trype,Script,Required/Conditional,Comments
1,Welcome Message,"Hi [Name] Welcome to Philer! I'm Clara, your virtual assistant. I'm here to guide you through the intake process for your real estate closing. I’ll be asking you a few questions about your transaction — this should take about 10 to 15 minutes. Before we begin, please make sure you're in a quiet place so we can talk without interruptions. If you have any questions along the way, just ask! And don't worry if you are not able to answer some questions. We will send you a summary of the information you will provide to us to your email and you will be able to adjust anything using the philer platform. Ready to get started?",Required,
2A,Transition,Great! Lets start!,,
2A,Applicant Details,Please tell me your first name. Feel free to spell it if you prefer,Required,
2A,Applicant Details,Now your last name,Required,
2A,Applicant Details,What is your date of birth?,Required,
2A,Applicant Details,"And what is your employment status? Full-time Employee, Part-time, Contract, Self-Employed or Unemployed?",Required,
2A,Applicant Details,What is your Organization Name?,Conditional If answer is NOT Unemployed,
2A,Applicant Details,"And your role, or designation?",Conditional If answer is NOT Unemployed,
2A,Applicant Details,Are you a first-time homebuyer? This means you never purchased any property anywhere in world. ,Required,
2A,Applicant Details,Are you a Canadian Citizen or Permanent Resident? Please specify,Required,
2A,Applicant Details,Do you acknowledge that you are fully able to understand and make decisions on your own?,Required,
2A,Transition,Thank you for providing your details! Now I'd like to know more about the property and other closing details!,,
2B,Closing / Property Details,"Are you Buying, Selling or Refinancing your property? ",,THIS QUESTION CAN BE SKIPPED FOR THE MVP PHASE
2B,Closing / Property Details,Is the property already built or it is a pre-construction purchase?,Conditional if answer is Buying,
2B,Closing / Property Details,"What is the type of the property you're closing on? Condo Apartment, Detached House, Semi-detached House, Freehold Townhouse, Condo Townhouse, Multiplex or other?",Required,
2B,Closing / Property Details,What is your Closing Date?,Required,
2B,Closing / Property Details,Do you know the property postal code? No problem if you don't have this information now,Required,
2B,Closing / Property Details,"Ok! Please tell me the property address, including the city",Required,"street number, street name, city"
2B,Closing / Property Details,Is this the address where you will be living after closing?,Conditional if answer is Buying,
2B,Closing / Property Details,"So, what is the address of the place you live or will be living after closing?","Conditional if answer to ""address where you will be living"" is no",
2B,Closing / Property Details,And what it is the postal code?,"Conditional if answer to ""address where you will be living"" is no",
2B,Closing / Property Details,"How do you intend to use the property you are acquiring? Primary Residence, Secondary Residence, Investment Property, Fix and Flip, Family Use or Other uses?",Conditional if answer is Buying,
2,Transition,"Lets Get Started! I see that you are purchasing a property on [Address + Postal Code], this property is a [Property Type], this property is [ready to live/ a precon] and you closing date is on [Closing Date] is this information right?",,
2,Applicant Remaining  Questions,"Ok, so what information would you like to correct?",Conditional if answer to above is NO,
2,Applicant Remaining  Questions,What is your date of birth?,Required,
2,Applicant Remaining  Questions,"And what is your employment status? Full-time Employee, Part-time, Contract, Self-Employed or Unemployed?",Required,
2,Applicant Remaining  Questions,What is your Organization Name?,Conditional If answer is NOT Unemployed,
2,Applicant Remaining  Questions,"And your role, or designation?",Conditional If answer is NOT Unemployed,
2,Applicant Remaining  Questions,Are you a first-time homebuyer? This means you never purchased any property anywhere in world. ,Required,
2,Applicant Remaining  Questions,Are you a Canadian Citizen or Permanent Resident? Please specify,Required,
2,Applicant Remaining  Questions,Do you acknowledge that you are fully able to understand and make decisions on your own?,Required,
2,Transition,Thank you for providing your details! Now I'd like to know more about the property and other closing details!,,
2,Closing Remaining Questions,Is [Address + Postal Code] the address where you will be living after closing?,Conditional for Purchase Transactions,
2,Closing Remaining Questions,"So, what is the address of the place you live or will be living after closing?","Conditional if answer to ""address where you will be living"" is no",
